Priority,Prospect Type,Prospect Name,City,Website or Facebook URL,LINE OA URL or ID,Contact Person,Contact Method,Current Evidence of LINE Use,Likely Pain Point,Document to Ask For,Outreach Date,Follow-up Date,Status,Notes
1,Taipei cram school,,,,,,,Enrollment questions in LINE,招生 FAQ / 課程頁,,,Not contacted,
2,New Taipei cram school,,,,,,,Enrollment questions in LINE,招生 FAQ / 課程頁,,,Not contacted,
3,Language school,,,,,,,Course schedule and tuition questions,課程 FAQ / 費用頁,,,Not contacted,
4,Language school,,,,,,,Trial class and placement questions,課程 FAQ / 試聽流程,,,Not contacted,
5,Test-prep school,,,,,,,Eligibility and class-level questions,招生簡章 / 課程頁,,,Not contacted,
6,Test-prep school,,,,,,,Refund and make-up class questions,退費 / 補課 SOP,,,Not contacted,
7,Coding bootcamp,,,,,,,Course fit and schedule questions,課程頁 / FAQ,,,Not contacted,
8,AI or digital skills course provider,,,,,,,Curriculum and prerequisite questions,課程頁 / 報名 FAQ,,,Not contacted,
9,Adult certification provider,,,,,,,Registration and payment questions,報名頁 / FAQ,,,Not contacted,
10,Adult certification provider,,,,,,,Exam-prep and qualification questions,課程 FAQ,,,Not contacted,
11,Study abroad agency,,,,,,,Program eligibility and document questions,FAQ / 服務流程,,,Not contacted,
12,Admissions counseling agency,,,,,,,Repeated parent/student inquiries,FAQ / 顧問服務頁,,,Not contacted,
13,University continuing education office,,,,,,,Course and registration questions,課程公告 / 報名 FAQ,,,Not contacted,
14,University continuing education office,,,,,,,Make-up and payment questions,行政 SOP / FAQ,,,Not contacted,
15,Music or arts class operator,,,,,,,Trial and class-level questions,課程頁 / 試聽流程,,,Not contacted,
16,Music or arts class operator,,,,,,,Schedule and teacher matching questions,課程 FAQ,,,Not contacted,
17,Tutoring center with active Facebook page,,,,,,,Parent FAQ and after-hours questions,招生 FAQ,,,Not contacted,
18,Tutoring center with active LINE OA,,,,,,,Tuition and class availability questions,課程 / 費用 FAQ,,,Not contacted,
19,Corporate training provider,,,,,,,Course inquiry and quote triage,課程頁 / 服務流程,,,Not contacted,
20,Corporate training provider,,,,,,,Training content and eligibility questions,FAQ / 課程簡章,,,Not contacted,
